Designator,Mid X,Mid Y,Rotation,Layer
HE43,300.0375,-80.9625,0.0,bottom
HE44,333.375,-80.9625,0.0,bottom
HE45,45.24375,-100.0125,0.0,bottom
HE46,71.4375,-100.0125,0.0,bottom
HE47,90.4875,-100.0125,0.0,bottom
HE48,109.5375,-100.0125,0.0,bottom
HE49,128.5875,-100.0125,0.0,bottom
HE5,119.0625,-38.1,0.0,bottom
HE50,147.6375,-100.0125,0.0,bottom
HE51,166.6875,-100.0125,0.0,bottom
HE52,185.7375,-100.0125,0.0,bottom
HE53,204.7875,-100.0125,0.0,bottom
HE54,223.8375,-100.0125,0.0,bottom
HE55,242.8875,-100.0125,0.0,bottom
HE56,261.9375,-100.0125,0.0,bottom
HE57,292.89375,-100.0125,0.0,bottom
HE58,333.375,-100.0125,0.0,bottom
HE59,50.00625,-119.0625,0.0,bottom
HE6,142.875,-38.1,0.0,bottom
HE60,80.9625,-119.0625,0.0,bottom
HE61,100.0125,-119.0625,0.0,bottom
HE62,119.0625,-119.0625,0.0,bottom
HE63,138.1125,-119.0625,0.0,bottom
HE64,157.1625,-119.0625,0.0,bottom
HE65,176.2125,-119.0625,0.0,bottom
HE66,195.2625,-119.0625,0.0,bottom
HE67,214.3125,-119.0625,0.0,bottom
HE68,233.3625,-119.0625,0.0,bottom
HE69,252.4125,-119.0625,0.0,bottom
HE7,161.925,-38.1,0.0,bottom
HE70,278.60625,-119.0625,0.0,bottom
HE71,309.5625,-123.825,0.0,bottom
HE72,40.48125,-138.1125,0.0,bottom
HE73,64.29375,-138.1125,0.0,bottom
HE74,88.10625,-138.1125,0.0,bottom
HE75,159.54375,-138.1125,0.0,bottom
HE76,228.6,-138.1125,0.0,bottom
HE77,247.65,-138.1125,0.0,bottom
HE78,266.7,-138.1125,0.0,bottom
HE79,290.5125,-142.875,0.0,bottom
HE8,180.975,-38.1,0.0,bottom
HE80,309.5625,-142.875,0.0,bottom
HE81,328.6125,-142.875,0.0,bottom
HE9,200.025,-38.1,0.0,bottom
J1,177.16788,-149.606,90.0,bottom
J3,337.83956,-147.075,90.0,bottom
JST1,192.0186,-70.1336,0.0,bottom
LED1,38.1,-33.02,180.0,bottom
LED10,223.8375,-33.02,180.0,bottom
LED11,242.8875,-33.02,180.0,bottom
LED12,261.9375,-33.02,180.0,bottom
LED13,280.9875,-33.02,180.0,bottom
LED14,304.8,-33.02,180.0,bottom
LED15,38.1,-56.8325,0.0,bottom
LED16,57.15,-56.8325,0.0,bottom
LED17,76.2,-56.8325,0.0,bottom
LED18,95.25,-56.8325,0.0,bottom
LED19,114.3,-56.8325,0.0,bottom
LED2,61.9125,-33.02,180.0,bottom
LED20,133.35,-56.8325,0.0,bottom
LED21,152.4,-56.8325,0.0,bottom
LED22,171.45,-56.8325,0.0,bottom
LED23,190.5,-56.8325,0.0,bottom
LED24,209.55,-56.8325,0.0,bottom
LED25,228.6,-56.8325,0.0,bottom
LED26,247.65,-56.8325,0.0,bottom
LED27,266.7,-56.8325,0.0,bottom
LED28,295.275,-56.8325,0.0,bottom
LED29,333.375,-56.8325,0.0,bottom
LED3,80.9625,-33.02,180.0,bottom
LED30,42.8625,-75.8825,180.0,bottom
LED31,66.675,-75.8825,180.0,bottom
LED32,85.725,-75.8825,180.0,bottom
LED33,104.775,-75.8825,180.0,bottom
LED34,123.825,-75.8825,180.0,bottom
LED35,142.875,-75.8825,180.0,bottom
LED36,161.925,-75.8825,180.0,bottom
LED37,180.975,-75.8825,180.0,bottom
LED38,200.025,-75.8825,180.0,bottom
LED39,219.075,-75.8825,180.0,bottom
LED4,100.0125,-33.02,180.0,bottom
LED40,238.125,-75.8825,180.0,bottom
LED41,257.175,-75.8825,180.0,bottom
LED42,276.225,-75.8825,180.0,bottom
LED43,300.0375,-75.8825,180.0,bottom
LED44,333.375,-75.8825,180.0,bottom
LED45,45.24375,-94.9325,0.0,bottom
LED46,71.4375,-94.9325,0.0,bottom
LED47,90.4875,-94.9325,0.0,bottom
LED48,109.5375,-94.9325,0.0,bottom
LED49,128.5875,-94.9325,0.0,bottom
LED5,119.0625,-33.02,180.0,bottom
LED50,147.6375,-94.9325,0.0,bottom
LED51,166.6875,-94.9325,0.0,bottom
LED52,185.7375,-94.9325,0.0,bottom
LED53,204.7875,-94.9325,0.0,bottom
LED54,223.8375,-94.9325,0.0,bottom
LED55,242.8875,-94.9325,0.0,bottom
LED56,261.9375,-94.9325,0.0,bottom
LED57,292.89375,-94.9325,0.0,bottom
LED58,333.375,-94.9325,0.0,bottom
LED59,50.00625,-113.9825,180.0,bottom
LED6,142.875,-33.02,180.0,bottom
LED60,80.9625,-113.9825,180.0,bottom
LED61,100.0125,-113.9825,180.0,bottom
LED62,119.0625,-113.9825,180.0,bottom
LED63,138.1125,-113.9825,180.0,bottom
LED64,157.1625,-113.9825,180.0,bottom
LED65,176.2125,-113.9825,180.0,bottom
LED66,195.2625,-113.9825,180.0,bottom
LED67,214.3125,-113.9825,180.0,bottom
LED68,233.3625,-113.9825,180.0,bottom
LED69,252.4125,-113.9825,180.0,bottom
LED7,161.925,-33.02,180.0,bottom
LED70,278.60625,-113.9825,180.0,bottom
LED71,309.5625,-118.745,180.0,bottom
LED72,40.48125,-133.0325,0.0,bottom
LED73,64.29375,-133.0325,0.0,bottom
LED74,88.10625,-133.0325,0.0,bottom
LED75,159.54375,-133.0325,0.0,bottom
LED76,228.6,-133.0325,0.0,bottom
LED77,247.65,-133.0325,0.0,bottom
LED78,266.7,-133.0325,0.0,bottom
LED79,290.5125,-137.795,0.0,bottom
LED8,180.975,-33.02,180.0,bottom
LED80,309.5625,-137.795,0.0,bottom
LED81,328.6125,-137.795,0.0,bottom
LED9,200.025,-33.02,180.0,bottom
MC1,98.4,-79.0,135.0,bottom
MC2,291.2,-79.0,135.0,bottom
MC3,174.8,-78.8,135.0,bottom
MUX1,95.25,-85.725,225.0,bottom
MUX2,171.45,-85.725,225.0,bottom
MUX3,288.13125,-85.725,225.0,bottom
Q1,299.55,-128.25,0.0,bottom
R1,187.5,-48.5,0.0,bottom
R10,317.0428,-46.863,0.0,bottom
R11,324.75,-105.0,90.0,bottom
R12,201.0,-140.7,0.0,bottom
R13,338.3,-106.0,180.0,bottom
R14,201.0,-143.3,180.0,bottom
R15,296.5,-128.25,270.0,bottom
R16,174.77,-140.75,0.0,bottom
R17,174.76,-138.75,0.0,bottom
R18,174.77,-136.75,0.0,bottom
R2,195.70988,-136.144,180.0,bottom
R4,184.48308,-129.887432,270.0,bottom
R5,182.98308,-129.887432,90.0,bottom
R6,330.75,-103.0,90.0,bottom
R7,339.0,-111.0,180.0,bottom
R8,35.5,-44.0,90.0,bottom
R9,316.9412,-109.668199,180.0,bottom
RES1,145.25625,-138.1125,0.0,top
SD1,331.0,-121.92,270.0,bottom
SWD2,311.972,-103.0,180.0,top
TFT1,329.946,-119.126,90.0,top
U1,182.698072,-49.209999,0.0,bottom
U2,198.73248,-132.334,90.0,bottom
U3,184.93178,-139.691148,90.0,bottom
U4,149.606,-123.19,270.0,bottom
U5,330.999999,-108.75,0.0,bottom
UART1,197.48788,-149.606,270.0,top
Y1,188.62328,-148.785032,180.0,bottom
